Label,Score,
POSITIVE,0.999823153,
POSITIVE,0.974057078,
POSITIVE,0.999807417,
POSITIVE,0.999880433,
POSITIVE,0.997357786,
F,,A
POSITIVE,0.999745667,
POSITIVE,0.999557197,
POSITIVE,0.998293221,
NEGATIVE,0.851589739,
NEGATIVE,0.990218341,
POSITIVE,0.999687076,
F,,A
POSITIVE,0.990755737,
POSITIVE,0.983504653,
POSITIVE,0.997135162,
F,,A
POSITIVE,0.999514341,
POSITIVE,0.999869943,
NEGATIVE,0.998329818,
F,,A
F,,A
POSITIVE,0.999884963,
POSITIVE,0.999881029,
POSITIVE,0.999879479,
NEGATIVE,0.980725229,
F,,A
POSITIVE,0.999761999,
F,,A
POSITIVE,0.999857306,
POSITIVE,0.999884009,
POSITIVE,0.931671679,
POSITIVE,0.996917605,
POSITIVE,0.999858975,
F,,A
POSITIVE,0.999874473,
NEGATIVE,0.996427238,
POSITIVE,0.999536872,
F,,A
POSITIVE,0.999378443,
F,,A
POSITIVE,0.999737442,
POSITIVE,0.924264431,
F,,A
NEGATIVE,0.999648571,
POSITIVE,0.999837637,
POSITIVE,0.999881864,
NEGATIVE,0.973095536,
POSITIVE,0.999458969,
POSITIVE,0.999842525,
F,,A
POSITIVE,0.999881983,
POSITIVE,0.999816,
POSITIVE,0.999134958,
F,,A
POSITIVE,0.990740776,
F,,A
POSITIVE,0.99985373,
F,,A
F,,A
F,,A
POSITIVE,0.999777496,
POSITIVE,0.999403834,
POSITIVE,0.999864459,
POSITIVE,0.999567688,
F,,A
POSITIVE,0.999877214,
NEGATIVE,0.992854059,
POSITIVE,0.99988699,
POSITIVE,0.999838948,
POSITIVE,0.999672771,
POSITIVE,0.999875665,
F,,A
POSITIVE,0.999765694,
NEGATIVE,0.985502243,
F,,A
POSITIVE,0.999587715,
POSITIVE,0.999804914,
POSITIVE,0.999671817,
POSITIVE,0.999849439,
POSITIVE,0.995278358,
NEGATIVE,0.945470333,
POSITIVE,0.999756873,
NEGATIVE,0.93339777,
NEGATIVE,0.982398927,
F,,A
POSITIVE,0.99984169,
POSITIVE,0.999870181,
POSITIVE,0.994144857,
POSITIVE,0.999754369,
POSITIVE,0.999770701,
POSITIVE,0.999871492,
POSITIVE,0.99967289,
POSITIVE,0.999759853,
F,,A
POSITIVE,0.998758435,
POSITIVE,0.999882817,
POSITIVE,0.999837995,
POSITIVE,0.54349488,
NEGATIVE,0.993236125,
POSITIVE,0.999856472,
F,,A
F,,A
F,,A
POSITIVE,0.999787629,
POSITIVE,0.999889135,
NEGATIVE,0.937880099,
POSITIVE,0.997153044,
POSITIVE,0.999418378,
POSITIVE,0.99863857,
POSITIVE,0.999682546,
F,,A
POSITIVE,0.99986279,
POSITIVE,0.999476492,
POSITIVE,0.999878645,
POSITIVE,0.999883056,
POSITIVE,0.99988997,
POSITIVE,0.991551638,
POSITIVE,0.956636012,
POSITIVE,0.999857426,
POSITIVE,0.999889851,
POSITIVE,0.999829412,
POSITIVE,0.999881744,
POSITIVE,0.99984014,
F,,A
POSITIVE,0.999780476,
POSITIVE,0.999854565,
POSITIVE,0.999873638,
POSITIVE,0.999877572,
NEGATIVE,0.970362008,
POSITIVE,0.999887228,
POSITIVE,0.99987185,
POSITIVE,0.999829054,
POSITIVE,0.999889135,
POSITIVE,0.99988544,
POSITIVE,0.99988389,
POSITIVE,0.999707639,
NEGATIVE,0.984658122,
POSITIVE,0.999120533,
POSITIVE,0.999887824,
NEGATIVE,0.99980706,
POSITIVE,0.999125421,
POSITIVE,0.999888659,
POSITIVE,0.999853015,
POSITIVE,0.987879455,
POSITIVE,0.999837041,
F,,A
POSITIVE,0.999869585,
POSITIVE,0.999830723,
F,,A
POSITIVE,0.999798238,
POSITIVE,0.99987042,
POSITIVE,0.999640584,
POSITIVE,0.998946011,
POSITIVE,0.999099135,
POSITIVE,0.70544529,
POSITIVE,0.999868035,
POSITIVE,0.999787629,
NEGATIVE,0.993646383,
F,,A
NEGATIVE,0.999082685,
POSITIVE,0.99988842,
NEGATIVE,0.988076925,
POSITIVE,0.999884486,
POSITIVE,0.999460876,
NEGATIVE,0.99607712,
NEGATIVE,0.967873275,
POSITIVE,0.999706924,
POSITIVE,0.999719679,
POSITIVE,0.999875188,
POSITIVE,0.999888539,
POSITIVE,0.959404171,
POSITIVE,0.999861121,
POSITIVE,0.999882579,
POSITIVE,0.999845743,
POSITIVE,0.999872327,
POSITIVE,0.999869227,
POSITIVE,0.999874234,
POSITIVE,0.99987936,
POSITIVE,0.999873281,
POSITIVE,0.999873638,
POSITIVE,0.999873519,
POSITIVE,0.997081816,
POSITIVE,0.999871612,
POSITIVE,0.970309734,
F,,A
POSITIVE,0.999848008,
POSITIVE,0.99986732,
POSITIVE,0.99977535,
POSITIVE,0.999811351,
POSITIVE,0.999853611,
POSITIVE,0.999893427,
NEGATIVE,0.985877275,
POSITIVE,0.999878287,
POSITIVE,0.99987793,
POSITIVE,0.999857545,
POSITIVE,0.99985218,
POSITIVE,0.998830259,
NEGATIVE,0.993893564,
POSITIVE,0.999859452,
POSITIVE,0.999705493,
POSITIVE,0.999620914,
POSITIVE,0.999875784,
POSITIVE,0.999841928,
POSITIVE,0.999778688,
NEGATIVE,0.991945565,
POSITIVE,0.999602735,
POSITIVE,0.999827325,
POSITIVE,0.999864936,
POSITIVE,0.999864697,
F,,A
F,,A
POSITIVE,0.999869585,
POSITIVE,0.999872804,
POSITIVE,0.998942316,
POSITIVE,0.999891877,
POSITIVE,0.999554574,
POSITIVE,0.995302558,
POSITIVE,0.99985826,
NEGATIVE,0.812453628,
POSITIVE,0.988430977,
POSITIVE,0.99987042,
POSITIVE,0.999868035,
POSITIVE,0.999743521,
POSITIVE,0.987413287,
POSITIVE,0.999833107,
POSITIVE,0.999853373,
POSITIVE,0.999745786,
POSITIVE,0.999764264,
POSITIVE,0.999858737,
POSITIVE,0.999889374,
POSITIVE,0.996611416,
POSITIVE,0.999890566,
NEGATIVE,0.998469412,
POSITIVE,0.999552071,
POSITIVE,0.999826133,
POSITIVE,0.999793589,
POSITIVE,0.999839544,
POSITIVE,0.92999655,
NEGATIVE,0.926321387,
POSITIVE,0.999794424,
POSITIVE,0.997054935,
POSITIVE,0.999669909,
POSITIVE,0.999876499,
POSITIVE,0.999529004,
POSITIVE,0.999857306,
POSITIVE,0.99987793,
POSITIVE,0.999866247,
POSITIVE,0.999882698,
NEGATIVE,0.960140586,
POSITIVE,0.999865055,
POSITIVE,0.99920541,
POSITIVE,0.999640226,
POSITIVE,0.99684453,
POSITIVE,0.999864578,
POSITIVE,0.999875188,
POSITIVE,0.998800874,
POSITIVE,0.999878168,
POSITIVE,0.991270304,
F,,A
NEGATIVE,0.999799788,
POSITIVE,0.999845982,
POSITIVE,0.999859333,
NEGATIVE,0.989289939,
NEGATIVE,0.989418209,
POSITIVE,0.999854684,
POSITIVE,0.999645948,
F,,A
NEGATIVE,0.999352872,
NEGATIVE,0.998193085,
POSITIVE,0.999884605,
POSITIVE,0.999776065,
NEGATIVE,0.987935185,
POSITIVE,0.999849796,
POSITIVE,0.999786913,
F,,A
POSITIVE,0.99988389,
POSITIVE,0.999408603,
NEGATIVE,0.998878896,
POSITIVE,0.999879122,
POSITIVE,0.999882698,
F,,A
POSITIVE,0.999881864,
POSITIVE,0.999860287,
POSITIVE,0.999822199,
POSITIVE,0.999839306,
POSITIVE,0.999888062,
NEGATIVE,0.980672538,
POSITIVE,0.999839425,
POSITIVE,0.999766171,
NEGATIVE,0.99958843,
POSITIVE,0.99985981,
POSITIVE,0.999861002,
F,,A
POSITIVE,0.99973315,
POSITIVE,0.999885559,
F,,A
NEGATIVE,0.999071121,
POSITIVE,0.999543607,
POSITIVE,0.990568876,
POSITIVE,0.99969542,
POSITIVE,0.999821603,
POSITIVE,0.999880672,
POSITIVE,0.974358141,
POSITIVE,0.999824345,
POSITIVE,0.999867082,
POSITIVE,0.999880672,
F,,A
POSITIVE,0.999880791,
POSITIVE,0.999889135,
NEGATIVE,0.998140454,
POSITIVE,0.99859339,
NEGATIVE,0.994533539,
POSITIVE,0.999864221,
F,,A
NEGATIVE,0.996449232,
F,,A
NEGATIVE,0.999744833,
F,,A
NEGATIVE,0.643512905,
POSITIVE,0.998447657,
POSITIVE,0.999756634,
POSITIVE,0.999877095,
POSITIVE,0.999858141,
NEGATIVE,0.987062514,
NEGATIVE,0.98840034,
F,,A
NEGATIVE,0.643512905,
POSITIVE,0.999870896,
NEGATIVE,0.943692088,
POSITIVE,0.999483466,
POSITIVE,0.999762595,
F,,A
POSITIVE,0.998916507,
POSITIVE,0.999648452,
NEGATIVE,0.999627829,
POSITIVE,0.999871373,
POSITIVE,0.634672165,
POSITIVE,0.999311566,
POSITIVE,0.999884486,
POSITIVE,0.999883533,
F,,A
POSITIVE,0.999842525,
POSITIVE,0.999813139,
POSITIVE,0.999872088,
POSITIVE,0.999806941,
NEGATIVE,0.995927036,
POSITIVE,0.999515653,
NEGATIVE,0.985243082,
POSITIVE,0.999845982,
POSITIVE,0.91301167,
F,,A
POSITIVE,0.999721587,
F,,A
POSITIVE,0.999885321,
NEGATIVE,0.999364078,
POSITIVE,0.997458756,
POSITIVE,0.99984777,
POSITIVE,0.999861836,
NEGATIVE,0.985113263,
POSITIVE,0.999857783,
POSITIVE,0.999540448,
F,,A
POSITIVE,0.999878168,
POSITIVE,0.999713242,
POSITIVE,0.999830484,
POSITIVE,0.999880195,
NEGATIVE,0.999446571,
POSITIVE,0.999891162,
NEGATIVE,0.999724686,
POSITIVE,0.999886394,
POSITIVE,0.999883533,
POSITIVE,0.999886632,
POSITIVE,0.999500871,
POSITIVE,0.740116179,
POSITIVE,0.99984479,
NEGATIVE,0.989555538,
POSITIVE,0.999881625,
POSITIVE,0.999634743,
POSITIVE,0.999858737,
POSITIVE,0.990889847,
POSITIVE,0.999840975,
NEGATIVE,0.998866677,
NEGATIVE,0.999508977,
POSITIVE,0.999878407,
POSITIVE,0.999858975,
POSITIVE,0.99986732,
NEGATIVE,0.976530373,
F,,A
POSITIVE,0.999868631,
POSITIVE,0.999852061,
POSITIVE,0.999849677,
NEGATIVE,0.979295611,
POSITIVE,0.999839306,
POSITIVE,0.996485233,
POSITIVE,0.999773681,
NEGATIVE,0.999760568,
POSITIVE,0.999827087,
POSITIVE,0.998850107,
POSITIVE,0.999889493,
F,,A
F,,A
POSITIVE,0.999724329,
POSITIVE,0.999872446,
POSITIVE,0.999837637,
POSITIVE,0.999859095,
POSITIVE,0.999854088,
POSITIVE,0.999877453,
POSITIVE,0.999710619,
POSITIVE,0.999609172,
NEGATIVE,0.978558183,
POSITIVE,0.999883175,
NEGATIVE,0.997865498,
POSITIVE,0.999880552,
POSITIVE,0.999880195,
POSITIVE,0.999889612,
POSITIVE,0.998434484,
POSITIVE,0.551631331,
POSITIVE,0.870938718,
POSITIVE,0.99985683,
POSITIVE,0.999859571,
POSITIVE,0.999873161,
POSITIVE,0.79027915,
POSITIVE,0.995824695,
POSITIVE,0.999851942,
POSITIVE,0.999876499,
NEGATIVE,0.999506474,
POSITIVE,0.99987936,
POSITIVE,0.999851108,
POSITIVE,0.99883312,
NEGATIVE,0.999637604,
POSITIVE,0.999549925,
POSITIVE,0.999733269,
POSITIVE,0.999838471,
POSITIVE,0.999862075,
POSITIVE,0.999891639,
POSITIVE,0.999884844,
POSITIVE,0.999854803,
POSITIVE,0.988593578,
POSITIVE,0.999853253,
POSITIVE,0.999871492,
POSITIVE,0.999737918,
POSITIVE,0.999879599,
NEGATIVE,0.999796212,
POSITIVE,0.999825895,
NEGATIVE,0.974682093,
POSITIVE,0.993229389,
POSITIVE,0.999839187,
POSITIVE,0.99957341,
NEGATIVE,0.997175336,
POSITIVE,0.969233811,
POSITIVE,0.999722302,
POSITIVE,0.998186052,
F,,A
POSITIVE,0.999818623,
POSITIVE,0.999834418,
POSITIVE,0.99953568,
POSITIVE,0.968212068,
POSITIVE,0.999378681,
POSITIVE,0.999836326,
POSITIVE,0.996074677,
POSITIVE,0.998738468,
POSITIVE,0.999881625,
POSITIVE,0.999829531,
NEGATIVE,0.968251109,
POSITIVE,0.99979192,
POSITIVE,0.954181254,
POSITIVE,0.999874949,
F,,A
POSITIVE,0.99976474,
NEGATIVE,0.999769151,
F,,A
POSITIVE,0.995795727,
POSITIVE,0.999769151,
POSITIVE,0.999861121,
POSITIVE,0.999870658,
POSITIVE,0.996146202,
NEGATIVE,0.954870582,
NEGATIVE,0.966896653,
POSITIVE,0.99985373,
POSITIVE,0.999779642,
NEGATIVE,0.918789029,
POSITIVE,0.999460757,
POSITIVE,0.999872327,
POSITIVE,0.999723375,
POSITIVE,0.999874473,
NEGATIVE,0.701391339,
POSITIVE,0.942848384,
POSITIVE,0.999454677,
NEGATIVE,0.925757706,
POSITIVE,0.999887466,
POSITIVE,0.999419451,
POSITIVE,0.997259498,
NEGATIVE,0.941451013,
NEGATIVE,0.992646337,
POSITIVE,0.99873668,
POSITIVE,0.999866009,
POSITIVE,0.999873877,
POSITIVE,0.99988687,
NEGATIVE,0.999524593,
POSITIVE,0.999680638,
POSITIVE,0.999877691,
POSITIVE,0.99988687,
POSITIVE,0.999890447,
F,,A
POSITIVE,0.999845624,
POSITIVE,0.99986732,
POSITIVE,0.999424815,
POSITIVE,0.999868989,
POSITIVE,0.999887586,
POSITIVE,0.999861479,
POSITIVE,0.999873757,
F,,A
POSITIVE,0.999685049,
POSITIVE,0.999816239,
F,,A
POSITIVE,0.999694347,
NEGATIVE,0.999280393,
POSITIVE,0.999889255,
POSITIVE,0.999878764,
POSITIVE,0.999861479,
POSITIVE,0.999153137,
POSITIVE,0.999869943,
NEGATIVE,0.999676824,
F,,A
NEGATIVE,0.999789298,
POSITIVE,0.99316591,
F,,A
POSITIVE,0.999742448,
POSITIVE,0.999655485,
POSITIVE,0.999860048,
POSITIVE,0.999813378,
F,,A
POSITIVE,0.999885798,
F,,A
POSITIVE,0.999720037,
POSITIVE,0.991830885,
F,,A
POSITIVE,0.999779403,
POSITIVE,0.999858856,
NEGATIVE,0.637596309,
F,,A
NEGATIVE,0.995666027,
NEGATIVE,0.999711812,
POSITIVE,0.999858975,
F,,A
NEGATIVE,0.999678731,
NEGATIVE,0.92826283,
NEGATIVE,0.998707652,
NEGATIVE,0.998963237,
NEGATIVE,0.996177793,
POSITIVE,0.999841928,
POSITIVE,0.99986577,
POSITIVE,0.998270273,
POSITIVE,0.999885559,
POSITIVE,0.928240836,
POSITIVE,0.99987781,
F,,A
POSITIVE,0.999577463,
POSITIVE,0.99975127,
POSITIVE,0.999875665,
NEGATIVE,0.999718368,
POSITIVE,0.997558355,
F,,A
F,,A
POSITIVE,0.603634655,
NEGATIVE,0.989557683,
NEGATIVE,0.999208748,
NEGATIVE,0.999821246,
POSITIVE,0.999723494,
POSITIVE,0.999814689,
POSITIVE,0.998294175,
POSITIVE,0.767428398,
NEGATIVE,0.968343973,
POSITIVE,0.999848962,
NEGATIVE,0.968535841,
NEGATIVE,0.999700189,
POSITIVE,0.999870658,
NEGATIVE,0.985987604,
NEGATIVE,0.993128538,
NEGATIVE,0.999773324,
POSITIVE,0.999869943,
NEGATIVE,0.999577582,
POSITIVE,0.999850154,
POSITIVE,0.999631524,
POSITIVE,0.999564946,
POSITIVE,0.999880314,
NEGATIVE,0.969337046,
POSITIVE,0.997695625,
NEGATIVE,0.993286431,
POSITIVE,0.999878645,
NEGATIVE,0.98597151,
NEGATIVE,0.997495055,
NEGATIVE,0.99793905,
POSITIVE,0.999875665,
POSITIVE,0.998426557,
POSITIVE,0.999461234,
POSITIVE,0.999833107,
F,,A
NEGATIVE,0.999821603,
F,,A
POSITIVE,0.999851346,
NEGATIVE,0.994320512,
NEGATIVE,0.997230947,
POSITIVE,0.99988234,
POSITIVE,0.999770939,
POSITIVE,0.999482512,
NEGATIVE,0.9397313,
POSITIVE,0.994560897,
NEGATIVE,0.999787509,
NEGATIVE,0.999771655,
NEGATIVE,0.997491121,
NEGATIVE,0.968366802,
NEGATIVE,0.998735607,
POSITIVE,0.554104507,
NEGATIVE,0.99966526,
POSITIVE,0.999887586,
POSITIVE,0.998799801,
F,,A
NEGATIVE,0.931864738,
NEGATIVE,0.99872309,
NEGATIVE,0.992505074,
NEGATIVE,0.997340977,
POSITIVE,0.999876261,
POSITIVE,0.999856353,
NEGATIVE,0.998070419,
POSITIVE,0.99988699,
NEGATIVE,0.999741733,
NEGATIVE,0.998417974,
NEGATIVE,0.991161227,
POSITIVE,0.964471996,
NEGATIVE,0.999729455,
NEGATIVE,0.990630567,
NEGATIVE,0.980410874,
NEGATIVE,0.999810874,
NEGATIVE,0.984647036,
F,,A
NEGATIVE,0.998861432,
POSITIVE,0.914576709,
POSITIVE,0.999887586,
POSITIVE,0.996524274,
F,,A
POSITIVE,0.999829531,
NEGATIVE,0.987674713,
POSITIVE,0.999837637,
NEGATIVE,0.992225647,
NEGATIVE,0.999399185,
NEGATIVE,0.997300208,
NEGATIVE,0.837733805,
F,,A
NEGATIVE,0.999652982,
F,,A
POSITIVE,0.999837041,
NEGATIVE,0.992887795,
NEGATIVE,0.999778807,
NEGATIVE,0.999709308,
POSITIVE,0.999865413,
POSITIVE,0.99748224,
POSITIVE,0.999738157,
NEGATIVE,0.995559812,
NEGATIVE,0.999497652,
POSITIVE,0.999886394,
POSITIVE,0.99971956,
POSITIVE,0.999878049,
POSITIVE,0.673395216,
NEGATIVE,0.999815166,
POSITIVE,0.999879479,
POSITIVE,0.999311805,
POSITIVE,0.999728739,
F,,A
NEGATIVE,0.998838603,
POSITIVE,0.999872565,
NEGATIVE,0.999627709,
NEGATIVE,0.996729851,
NEGATIVE,0.999786675,
POSITIVE,0.999840856,
POSITIVE,0.892101884,
NEGATIVE,0.992953002,
F,,A
NEGATIVE,0.999620676,
POSITIVE,0.994292974,
POSITIVE,0.871689618,
POSITIVE,0.999662399,
POSITIVE,0.999736845,
NEGATIVE,0.998274684,
POSITIVE,0.999731004,
